"Publisher","ISSN","eISSN","JIF","Publication Year"
"INTER-RESEARCH","0171-8630","1616-1599",2.292,2016
"INTER-RESEARCH","0171-8630","1616-1599",2.292,2016
"NATURE PUBLISHING GROUP","1474-1733","1474-1741",39.932,2016
"BAISHIDENG PUBLISHING GROUP INC","1007-9327","2219-2840",3.365,2016
"AMER PUBLIC HEALTH ASSOC INC","0090-0036","1541-0048",3.858,2016
"AMER PUBLIC HEALTH ASSOC INC","0090-0036","1541-0048",3.858,2016
"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0196-2892","1558-0644",4.942,2016
"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0196-2892","1558-0644",4.942,2016
"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0196-2892","1558-0644",4.942,2016
"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0196-2892","1558-0644",4.942,2016
"LIPPINCOTT WILLIAMS & WILKINS","0032-1052","1529-4242",3.843,2016
"AMER CHEMICAL SOC","0887-0624","1520-5029",3.091,2016
"AMER CHEMICAL SOC","0887-0624","1520-5029",3.091,2016
"OXFORD UNIV PRESS","0923-7534","1569-8041",11.855,2016
"AMER CHEMICAL SOC","1525-7797","1526-4602",5.246,2016
"AMER CHEMICAL SOC","1525-7797","1526-4602",5.246,2016
"AMER CHEMICAL SOC","1525-7797","1526-4602",5.246,2016
"WILEY-BLACKWELL","0364-5134","1531-8249",9.89,2016
"WILEY-BLACKWELL","0364-5134","1531-8249",9.89,2016
"ROYAL SOC CHEMISTRY","1463-9262","1463-9270",9.125,2016
"ROYAL SOC CHEMISTRY","1463-9262","1463-9270",9.125,2016
"PERGAMON-ELSEVIER SCIENCE LTD","0196-8904","1879-2227",5.589,2016
"PERGAMON-ELSEVIER SCIENCE LTD","0196-8904","1879-2227",5.589,2016
"PERGAMON-ELSEVIER SCIENCE LTD","0196-8904","1879-2227",5.589,2016
"BIOMED CENTRAL LTD","1471-2164","1471-2164",3.729,2016
"BIOMED CENTRAL LTD","1471-2164","1471-2164",3.729,2016
"AMER GEOPHYSICAL UNION","2169-9313","2169-9356",3.35,2016
"ELSEVIER SCI LTD","0269-7491","1873-6424",5.099,2016
"CELL PRESS","0002-9297","1537-6605",9.025,2016
"ELSEVIER SCIENCE BV","0168-8278","1600-0641",12.486,2016
"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0885-8950","1558-0679",5.68,2016
"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1053-587X","1941-0476",4.3,2016
"AMER CHEMICAL SOC","1948-7185","N/A",9.353,2016
"AMER CHEMICAL SOC","1948-7185","N/A",9.353,2016
"AMER CHEMICAL SOC","1948-7185","N/A",9.353,2016
"AMER CHEMICAL SOC","1948-7185","N/A",9.353,2016
"ELSEVIER SCIENCE INC","0015-0282","1556-5653",4.447,2016
"ELSEVIER SCIENCE INC","0015-0282","1556-5653",4.447,2016
"LIPPINCOTT WILLIAMS & WILKINS","1079-5642","1524-4636",6.607,2016
"LIPPINCOTT WILLIAMS & WILKINS","1079-5642","1524-4636",6.607,2016
"EUROPEAN RESPIRATORY SOC JOURNALS LTD","0903-1936","1399-3003",10.569,2016
"PERGAMON-ELSEVIER SCIENCE LTD","0005-1098","1873-2836",5.451,2016
"PERGAMON-ELSEVIER SCIENCE LTD","0005-1098","1873-2836",5.451,2016
"NATURE PUBLISHING GROUP","1471-0056","1471-0064",40.282,2016
"CELL PRESS","1535-6108","1878-3686",27.407,2016
"CELL PRESS","1535-6108","1878-3686",27.407,2016
"NATURE PUBLISHING GROUP","1754-2189","1750-2799",10.032,2016
"ROYAL SOC CHEMISTRY","1744-683X","1744-6848",3.889,2016
"ROYAL SOC CHEMISTRY","1744-683X","1744-6848",3.889,2016
"ROYAL SOC CHEMISTRY","1744-683X","1744-6848",3.889,2016
"ROYAL SOC CHEMISTRY","1744-683X","1744-6848",3.889,2016
"WILEY-BLACKWELL","0192-8651","1096-987X",3.229,2016
"ELSEVIER SCIENCE SA","0257-8972","1879-3347",2.589,2016
"ELSEVIER SCIENCE SA","0257-8972","1879-3347",2.589,2016
"ELSEVIER IRELAND LTD","0304-3940","1872-7972",2.18,2016
"ELSEVIER SCIENCE LONDON","0169-5347","1872-8383",15.268,2016
"ELSEVIER SCIENCE LONDON","0169-5347","1872-8383",15.268,2016
"ELSEVIER SCIENCE LONDON","0169-5347","1872-8383",15.268,2016
"WILEY-BLACKWELL","0014-3820","1558-5646",4.201,2016
"WILEY-BLACKWELL","0014-3820","1558-5646",4.201,2016
"WILEY-BLACKWELL","0014-3820","1558-5646",4.201,2016
"ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","0022-460X","1095-8568",2.593,2016
"ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","0022-460X","1095-8568",2.593,2016
"ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","0022-460X","1095-8568",2.593,2016
"ELSEVIER SCIENCE BV","0169-409X","1872-8294",11.764,2016
"NATURE PUBLISHING GROUP","0002-9270","1572-0241",9.566,2016
"GEOLOGICAL SOC AMER, INC","0091-7613","1943-2682",4.635,2016
"LIPPINCOTT WILLIAMS & WILKINS","0029-7844","0029-7844",5.215,2016
"SPRINGER","0029-8549","1432-1939",3.13,2016
"ELSEVIER SCIENCE BV","0920-5861","1873-4308",4.636,2016
"ELSEVIER SCIENCE BV","0920-5861","1873-4308",4.636,2016
"ELSEVIER SCIENCE BV","0920-5861","1873-4308",4.636,2016
"ELSEVIER SCI LTD","0264-1275","1873-4197",4.364,2016
"WILEY-BLACKWELL","1354-1013","1365-2486",8.502,2016
"WILEY-BLACKWELL","1354-1013","1365-2486",8.502,2016
"WILEY-BLACKWELL","1354-1013","1365-2486",8.502,2016
"AMER ROENTGEN RAY SOC","0361-803X","1546-3141",2.778,2016
"WILEY-BLACKWELL","0007-1188","1476-5381",5.491,2016
"AMER ASSOC NEUROLOGICAL SURGEONS","0022-3085","1933-0693",4.059,2016
"AMER ASSOC NEUROLOGICAL SURGEONS","0022-3085","1933-0693",4.059,2016
"PERGAMON-ELSEVIER SCIENCE LTD","0010-938X","1879-0496",5.245,2016
"PERGAMON-ELSEVIER SCIENCE LTD","0010-938X","1879-0496",5.245,2016
"AMER SOC PHARMACOLOGY EXPERIMENTAL THERAPEUTICS","0022-3565","1521-0103",3.867,2016
"LIPPINCOTT WILLIAMS & WILKINS","0195-9131","1530-0315",4.141,2016
"PERGAMON-ELSEVIER SCIENCE LTD","0957-4174","1873-6793",3.928,2016
"PERGAMON-ELSEVIER SCIENCE LTD","0957-4174","1873-6793",3.928,2016
"PERGAMON-ELSEVIER SCIENCE LTD","0957-4174","1873-6793",3.928,2016
"AMER PSYCHOLOGICAL ASSOC","0021-9010","1939-1854",4.13,2016
"AMER PSYCHOLOGICAL ASSOC","0021-9010","1939-1854",4.13,2016
"PERGAMON-ELSEVIER SCIENCE LTD","0038-0717","1879-3428",4.857,2016
"PERGAMON-ELSEVIER SCIENCE LTD","0031-9422","1873-3700",3.205,2016
"PERGAMON-ELSEVIER SCIENCE LTD","0031-9422","1873-3700",3.205,2016
"AMER STATISTICAL ASSOC","0162-1459","1537-274X",2.016,2016
"AMER PHYSIOLOGICAL SOC","0363-6135","1522-1539",3.348,2016
"AMER PHYSIOLOGICAL SOC","0363-6135","1522-1539",3.348,2016
"AMER PHYSIOLOGICAL SOC","0363-6135","1522-1539",3.348,2016
"ACAD MANAGEMENT","0001-4273","1948-0989",7.417,2016
"ACAD MANAGEMENT","0001-4273","1948-0989",7.417,2016
"COMPANY OF BIOLOGISTS LTD","0022-0949","1477-9145",3.32,2016
"ELSEVIER SCI LTD","0959-6526","1879-1786",5.715,2016
"ELSEVIER SCI LTD","0959-6526","1879-1786",5.715,2016
"ELSEVIER SCI LTD","0959-6526","1879-1786",5.715,2016
"ELSEVIER SCIENCE BV","0014-2999","1879-0712",2.896,2016
"IMPACT JOURNALS LLC","1949-2553","1949-2553",5.168,2016
"IMPACT JOURNALS LLC","1949-2553","1949-2553",5.168,2016
"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0018-9219","1558-2256",9.237,2016
"OXFORD UNIV PRESS INC","0148-396X","1524-4040",4.889,2016
"OXFORD UNIV PRESS INC","0148-396X","1524-4040",4.889,2016
"ELSEVIER SCIENCE BV","0304-8853","1873-4766",2.63,2016
"ELSEVIER SCIENCE BV","0304-8853","1873-4766",2.63,2016
"ELSEVIER SCIENCE BV","0044-8486","1873-5622",2.57,2016
"ELSEVIER SCIENCE BV","0044-8486","1873-5622",2.57,2016
"NATURE PUBLISHING GROUP","1745-2473","1745-2481",22.806,2016
"AMER SOC CELL BIOLOGY","1059-1524","1939-4586",3.685,2016
"WILEY-BLACKWELL","0021-9967","1096-9861",3.266,2016
"WILEY-BLACKWELL","0021-9967","1096-9861",3.266,2016
"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1057-7149","1941-0042",4.828,2016
"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1057-7149","1941-0042",4.828,2016
"WILEY-BLACKWELL","0740-3194","1522-2594",3.924,2016
"OXFORD UNIV PRESS","0268-1161","1460-2350",5.02,2016
"OXFORD UNIV PRESS","0268-1161","1460-2350",5.02,2016
"WILEY-BLACKWELL","0022-1082","1540-6261",6.043,2016
"WILEY-BLACKWELL","0022-1082","1540-6261",6.043,2016
"ACADEMIC PRESS INC ELSEVIER SCIENCE","0012-1606","1095-564X",2.944,2016
"ELSEVIER IRELAND LTD","0378-8741","1872-7573",2.981,2016
"ELSEVIER IRELAND LTD","0378-8741","1872-7573",2.981,2016
"ELSEVIER IRELAND LTD","0378-8741","1872-7573",2.981,2016
"ELSEVIER IRELAND LTD","0378-8741","1872-7573",2.981,2016
"ELSEVIER SCIENCE SA","0010-8545","1873-3840",13.324,2016
"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0018-926X","1558-2221",2.957,2016
"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0018-926X","1558-2221",2.957,2016
"ELSEVIER SCIENCE BV","0009-2541","1872-6836",3.347,2016
"PERGAMON-ELSEVIER SCIENCE LTD","0968-0896","1464-3391",2.93,2016
"PERGAMON-ELSEVIER SCIENCE LTD","0968-0896","1464-3391",2.93,2016
"PERGAMON-ELSEVIER SCIENCE LTD","0968-0896","1464-3391",2.93,2016
"ELSEVIER SCIENCE BV","0378-1127","1872-7042",3.064,2016
"ELSEVIER SCI LTD","0950-0618","1879-0526",3.169,2016
"ELSEVIER SCI LTD","0950-0618","1879-0526",3.169,2016
"ELSEVIER SCI LTD","0950-0618","1879-0526",3.169,2016
"AMER INST PHYSICS","0034-6748","1089-7623",1.515,2016
"AMER INST PHYSICS","0034-6748","1089-7623",1.515,2016
"BIOMED CENTRAL LTD","1474-760X","1474-760X",11.908,2016
"BIOMED CENTRAL LTD","1474-760X","1474-760X",11.908,2016
"SPRINGER","0032-079X","1573-5036",3.052,2016
"SPRINGER","0032-079X","1573-5036",3.052,2016
"SPRINGER","0032-079X","1573-5036",3.052,2016
"ROYAL SOC CHEMISTRY","1477-0520","1477-0539",3.564,2016
"NATURE PUBLISHING GROUP","1474-1776","1474-1784",57,2016
"NATURE PUBLISHING GROUP","1474-1776","1474-1784",57,2016
"SPRINGER","0012-186X","1432-0428",6.08,2016
"ELSEVIER SCI LTD","0272-8842","1873-3956",2.986,2016
"IOP PUBLISHING LTD","0021-4922","1347-4065",1.384,2016
"PERGAMON-ELSEVIER SCIENCE LTD","0960-1481","1879-0682",4.357,2016
"PERGAMON-ELSEVIER SCIENCE LTD","0960-1481","1879-0682",4.357,2016
"MOSBY-ELSEVIER","0022-3476","1097-6833",3.874,2016
"IOP PUBLISHING LTD","0004-6256","1538-3881",2.609,2016
"SPRINGER HEIDELBERG","1618-2642","1618-2650",3.431,2016
"SPRINGER HEIDELBERG","1618-2642","1618-2650",3.431,2016
"LIPPINCOTT WILLIAMS & WILKINS","0003-3022","1528-1175",5.785,2016
"ROYAL SOC CHEMISTRY","2041-6520","2041-6539",8.668,2016
"CENTERS DISEASE CONTROL","1080-6040","1080-6059",8.222,2016
"CENTERS DISEASE CONTROL","1080-6040","1080-6059",8.222,2016
"AMER INST PHYSICS","1070-6631","1089-7666",2.232,2016
"AMER INST PHYSICS","1070-6631","1089-7666",2.232,2016
"SAGE PUBLICATIONS INC","0363-5465","1552-3365",5.673,2016
"SAGE PUBLICATIONS INC","0363-5465","1552-3365",5.673,2016
"BMJ PUBLISHING GROUP","0022-3050","1468-330X",7.349,2016
"BMJ PUBLISHING GROUP","0022-3050","1468-330X",7.349,2016
"BMJ PUBLISHING GROUP","0022-3050","1468-330X",7.349,2016
"ACAD MANAGEMENT","0363-7425","1930-3807",9.408,2016
"ACAD MANAGEMENT","0363-7425","1930-3807",9.408,2016
"UNIV CHICAGO PRESS","0003-0147","1537-5323",4.167,2016
"UNIV CHICAGO PRESS","0003-0147","1537-5323",4.167,2016
"AMER GEOPHYSICAL UNION","2169-9380","2169-9402",2.733,2016
"AMER ASSOC CLINICAL CHEMISTRY","0009-9147","1530-8561",8.008,2016
"WILEY-BLACKWELL","1461-023X","1461-0248",9.449,2016
"ROYAL SOC CHEMISTRY","0003-2654","1364-5528",3.885,2016
"OXFORD UNIV PRESS","0305-7453","1460-2091",5.071,2016
"OXFORD UNIV PRESS","0305-7453","1460-2091",5.071,2016
"OXFORD UNIV PRESS","0305-7453","1460-2091",5.071,2016
"ELSEVIER SCIENCE INC","0022-202X","1523-1747",6.287,2016
"ELSEVIER SCI LTD","0021-9290","1873-2380",2.664,2016
"ELSEVIER SCI LTD","0021-9290","1873-2380",2.664,2016
"WILEY-BLACKWELL","0143-2095","1097-0266",4.461,2016
"WILEY-BLACKWELL","0143-2095","1097-0266",4.461,2016
"OXFORD UNIV PRESS INC","1047-3211","1460-2199",6.559,2016
"ROYAL SOC CHEMISTRY","1473-0197","1473-0189",6.045,2016
"ROYAL SOC CHEMISTRY","1473-0197","1473-0189",6.045,2016
"ROYAL SOC CHEMISTRY","1473-0197","1473-0189",6.045,2016
"AMER CHEMICAL SOC","1528-7483","1528-7505",4.055,2016
"AMER CHEMICAL SOC","1528-7483","1528-7505",4.055,2016
"AMER CHEMICAL SOC","1528-7483","1528-7505",4.055,2016
"ELSEVIER SCI LTD","0959-8049","1879-0852",6.029,2016
"IOP PUBLISHING LTD","1367-2630","1367-2630",3.786,2016
"PERGAMON-ELSEVIER SCIENCE LTD","0006-2952","1873-2968",4.581,2016
"ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER","0223-5234","1768-3254",4.519,2016
"ELSEVIER SCIENCE BV","0302-2838","1873-7560",16.265,2016
"WILEY-BLACKWELL","0002-8614","1532-5415",4.388,2016
"WILEY-BLACKWELL","0002-8614","1532-5415",4.388,2016
"AMER CHEMICAL SOC","2155-5435","2155-5435",10.614,2016
"ELSEVIER SCIENCE BV","0927-7757","1873-4359",2.714,2016
"AMER INST PHYSICS","1070-664X","1089-7674",2.115,2016
"ROYAL SOC CHEMISTRY","1466-8033","1466-8033",3.474,2016
"ROYAL SOC CHEMISTRY","1466-8033","1466-8033",3.474,2016
"PUBLIC LIBRARY SCIENCE","1545-7885","1545-7885",9.797,2016
"PUBLIC LIBRARY SCIENCE","1545-7885","1545-7885",9.797,2016
"ELSEVIER SCIENCE BV","0927-0248","1879-3398",4.784,2016
"ELSEVIER SCIENCE BV","0927-0248","1879-3398",4.784,2016
"ELSEVIER SCIENCE BV","0927-0248","1879-3398",4.784,2016
"NATURE PUBLISHING GROUP","1545-9993","1545-9985",12.595,2016
"NATURE PUBLISHING GROUP","1545-9993","1545-9985",12.595,2016
"NATURE PUBLISHING GROUP","1545-9993","1545-9985",12.595,2016
"WILEY-BLACKWELL","0012-9682","1468-0262",3.379,2016
"WILEY-BLACKWELL","0012-9682","1468-0262",3.379,2016
"WILEY-BLACKWELL","0012-9682","1468-0262",3.379,2016
"WILEY-BLACKWELL","0012-9682","1468-0262",3.379,2016
"WILEY-BLACKWELL","0009-3920","1467-8624",4.195,2016
"WILEY-BLACKWELL","0009-3920","1467-8624",4.195,2016
"ELSEVIER IRELAND LTD","0304-3835","1872-7980",6.375,2016
"MOSBY-ELSEVIER","0022-5223","1097-685X",4.446,2016
"MOSBY-ELSEVIER","0022-5223","1097-685X",4.446,2016
"MOSBY-ELSEVIER","0022-5223","1097-685X",4.446,2016
"INFORMS","0025-1909","1526-5501",2.822,2016
"INFORMS","0025-1909","1526-5501",2.822,2016
"AMER SOC ANIMAL SCIENCE","0021-8812","1525-3163",1.863,2016
"SAGE PUBLICATIONS INC","0956-7976","1467-9280",5.667,2016
"BIOMED CENTRAL LTD","1471-2105","1471-2105",2.448,2016
"BIOMED CENTRAL LTD","1471-2105","1471-2105",2.448,2016
"BIOMED CENTRAL LTD","1471-2105","1471-2105",2.448,2016
"ELSEVIER SCIENCE BV","0022-0248","1873-5002",1.751,2016
"ELSEVIER SCIENCE BV","0022-0248","1873-5002",1.751,2016
"ELSEVIER SCIENCE BV","0022-0248","1873-5002",1.751,2016
"WILEY-BLACKWELL","0953-816X","1460-9568",2.941,2016
"WILEY-BLACKWELL","0024-3590","1939-5590",3.383,2016
"WILEY-BLACKWELL","0024-3590","1939-5590",3.383,2016
"AMER PHYSIOLOGICAL SOC","0031-9333","1522-1210",27.312,2016
"MDPI AG","1422-0067","1422-0067",3.226,2016
"MDPI AG","1422-0067","1422-0067",3.226,2016
"PERGAMON-ELSEVIER SCIENCE LTD","1359-4311","1873-5606",3.444,2016
"PERGAMON-ELSEVIER SCIENCE LTD","1359-4311","1873-5606",3.444,2016
"PERGAMON-ELSEVIER SCIENCE LTD","1359-4311","1873-5606",3.444,2016
"PERGAMON-ELSEVIER SCIENCE LTD","1359-4311","1873-5606",3.444,2016
"ELSEVIER SCI LTD","0266-3538","1879-1050",4.873,2016
"ELSEVIER SCIENCE SA","0924-0136","1873-4774",3.147,2016
"ELSEVIER SCIENCE SA","0924-0136","1873-4774",3.147,2016
"ELSEVIER SCIENCE SA","0924-0136","1873-4774",3.147,2016
"ELSEVIER SCIENCE SA","0378-7788","1872-6178",4.067,2016
"ELSEVIER SCIENCE SA","0378-7788","1872-6178",4.067,2016
"ELSEVIER SCIENCE SA","0378-7788","1872-6178",4.067,2016
"WILEY-BLACKWELL","0884-0431","1523-4681",6.284,2016
"SPRINGER","1068-9265","1534-4681",4.041,2016
"SPRINGER","1068-9265","1534-4681",4.041,2016
"ELSEVIER IRELAND LTD","0167-5273","1874-1754",6.189,2016
"CELL PRESS","1534-5807","1878-1551",9.174,2016
"CELL PRESS","1534-5807","1878-1551",9.174,2016
"CELL PRESS","1550-4131","1932-7420",18.164,2016
"CELL PRESS","1550-4131","1932-7420",18.164,2016
"PERGAMON-ELSEVIER SCIENCE LTD","1359-6462","1872-8456",3.747,2016
"PERGAMON-ELSEVIER SCIENCE LTD","1359-6462","1872-8456",3.747,2016
"PERGAMON-ELSEVIER SCIENCE LTD","1359-6462","1872-8456",3.747,2016
"ELSEVIER SCIENCE BV","0375-9601","1873-2429",1.772,2016
"LIPPINCOTT WILLIAMS & WILKINS","0041-1337","1534-6080",3.678,2016
"LIPPINCOTT WILLIAMS & WILKINS","0041-1337","1534-6080",3.678,2016
"LIPPINCOTT WILLIAMS & WILKINS","0041-1337","1534-6080",3.678,2016
"LIPPINCOTT WILLIAMS & WILKINS","0003-2999","0003-2999",4.014,2016
"AMER PSYCHOLOGICAL ASSOC","0033-295X","1939-1471",7.638,2016
"AMER PSYCHOLOGICAL ASSOC","0033-295X","1939-1471",7.638,2016
"ELSEVIER SCI LTD","1742-7061","1878-7568",6.319,2016
"ELSEVIER SCI LTD","1742-7061","1878-7568",6.319,2016
"BIOMED CENTRAL LTD","1471-2458","1471-2458",2.265,2016
"ELSEVIER SCIENCE BV","0370-1573","1873-6270",17.425,2016
"SOC NUCLEAR MEDICINE INC","0161-5505","1535-5667",6.646,2016
"MOSBY-ELSEVIER","0190-9622","1097-6787",7.002,2016
"WILEY-BLACKWELL","0007-0963","1365-2133",4.706,2016
"ACADEMIC PRESS INC ELSEVIER SCIENCE","0042-6822","1089-862X",3.353,2016
"ELSEVIER SCI LTD","0006-3207","1873-2917",4.022,2016
"ELSEVIER SCI LTD","0006-3207","1873-2917",4.022,2016
"ELSEVIER SCI LTD","0006-3207","1873-2917",4.022,2016
"ELSEVIER SCIENCE SA","1572-6657","1873-2569",3.012,2016
"ELSEVIER SCIENCE SA","1572-6657","1873-2569",3.012,2016
"NATURE PUBLISHING GROUP","1755-4330","1755-4349",25.87,2016
"AMER CHEMICAL SOC","1549-9618","1549-9626",5.245,2016
"AMER CHEMICAL SOC","1549-9618","1549-9626",5.245,2016
"WILEY-BLACKWELL","0013-9580","1528-1167",5.295,2016
"ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","0003-3472","1095-8282",2.869,2016
"ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","0003-3472","1095-8282",2.869,2016
"AMER METEOROLOGICAL SOC","0022-4928","1520-0469",3.207,2016
"PERGAMON-ELSEVIER SCIENCE LTD","1386-1425","1873-3557",2.536,2016
"AMER METEOROLOGICAL SOC","0027-0644","1520-0493",3.043,2016
"ELSEVIER SCIENCE INC","1474-4422","1474-4465",26.284,2016
"ELSEVIER SCIENCE BV","0168-9002","1872-9576",1.362,2016
"ELSEVIER SCIENCE BV","0168-9002","1872-9576",1.362,2016
"ELSEVIER SCIENCE BV","0168-9002","1872-9576",1.362,2016
"ELSEVIER SCIENCE BV","0168-9002","1872-9576",1.362,2016
"IOP PUBLISHING LTD","0067-0049","1538-4365",8.955,2016
"WILEY-BLACKWELL","0007-9235","1542-4863",187.04,2016
"OXFORD UNIV PRESS","0931-0509","1460-2385",4.47,2016
"OXFORD UNIV PRESS","0931-0509","1460-2385",4.47,2016
"OXFORD UNIV PRESS","0956-540X","1365-246X",2.414,2016
"PERGAMON-ELSEVIER SCIENCE LTD","0008-8846","1873-3948",4.762,2016
"PERGAMON-ELSEVIER SCIENCE LTD","0008-8846","1873-3948",4.762,2016
"ELSEVIER SCIENCE BV","0022-3115","1873-4820",2.048,2016
"ELSEVIER SCIENCE BV","0022-3115","1873-4820",2.048,2016
"ELSEVIER SCIENCE INC","0002-9394","1879-1891",5.052,2016
"PERGAMON-ELSEVIER SCIENCE LTD","0038-092X","1471-1257",4.018,2016
"ACADEMIC PRESS INC ELSEVIER SCIENCE","0076-6879","N/A",1.972,2016
"ACADEMIC PRESS INC ELSEVIER SCIENCE","0076-6879","N/A",1.972,2016
"WILEY-BLACKWELL","0006-3592","1097-0290",4.481,2016
"ELSEVIER SCIENCE SA","0304-405X","N/A",4.505,2016
"ELSEVIER SCIENCE SA","0304-405X","N/A",4.505,2016
"ELSEVIER SCIENCE INC","0002-9343","1555-7162",5.55,2016
"AMER GEOPHYSICAL UNION","2169-9275","2169-9291",2.939,2016
"ELSEVIER SCIENCE BV","0040-1951","1879-3266",2.693,2016
"NATURE PUBLISHING GROUP","0893-133X","1740-634X",6.403,2016
"NATURE PUBLISHING GROUP","0893-133X","1740-634X",6.403,2016
"NATURE PUBLISHING GROUP","0893-133X","1740-634X",6.403,2016
"ELSEVIER SCI LTD","0031-3203","1873-5142",4.582,2016
"ELSEVIER SCI LTD","0031-3203","1873-5142",4.582,2016
"MDPI AG","1424-8220","1424-8220",2.677,2016
"MDPI AG","1424-8220","1424-8220",2.677,2016
"MDPI AG","1424-8220","1424-8220",2.677,2016
"ELSEVIER SCIENCE BV","0165-0327","1573-2517",3.432,2016
"ELSEVIER SCIENCE BV","0165-0327","1573-2517",3.432,2016
"ELSEVIER SCIENCE BV","0165-0327","1573-2517",3.432,2016
"INT UNION CRYSTALLOGRAPHY","1600-5767","1600-5767",2.614,2016
"INT UNION CRYSTALLOGRAPHY","1600-5767","1600-5767",2.614,2016
"ELSEVIER SCIENCE BV","0378-1119","1879-0038",2.415,2016
"SPRINGER","0033-3158","1432-2072",3.308,2016
"SPRINGER","0033-3158","1432-2072",3.308,2016
"SPRINGER","0033-3158","1432-2072",3.308,2016
"NATURE PUBLISHING GROUP","1740-1526","1740-1534",26.819,2016
"NATURE PUBLISHING GROUP","0887-6924","1476-5551",11.702,2016
"NATURE PUBLISHING GROUP","0887-6924","1476-5551",11.702,2016
"PERGAMON-ELSEVIER SCIENCE LTD","0028-3932","1873-3514",3.197,2016
"PERGAMON-ELSEVIER SCIENCE LTD","0028-3932","1873-3514",3.197,2016
"PERGAMON-ELSEVIER SCIENCE LTD","0028-3932","1873-3514",3.197,2016
"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1536-1276","1558-2248",4.951,2016
"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1536-1276","1558-2248",4.951,2016
"ELSEVIER SCIENCE SA","0254-0584","1879-3312",2.084,2016
"ROYAL COLLEGE OF PSYCHIATRISTS","0007-1250","1472-1465",6.347,2016
"ROYAL COLLEGE OF PSYCHIATRISTS","0007-1250","1472-1465",6.347,2016
"CENTERS DISEASE CONTROL","0149-2195","1545-861X",11.483,2016
"MDPI AG","1420-3049","1420-3049",2.861,2016
"CAMBRIDGE UNIV PRESS","0007-1145","1475-2662",3.706,2016
"ELSEVIER SCIENCE BV","0166-4328","1872-7549",3.002,2016
"ELSEVIER SCIENCE BV","0166-4328","1872-7549",3.002,2016
"WILEY-BLACKWELL","0007-1048","1365-2141",5.67,2016
"ELSEVIER SCIENCE LONDON","1364-6613","1879-307X",15.402,2016
"ELSEVIER SCIENCE LONDON","1364-6613","1879-307X",15.402,2016
"ELSEVIER SCIENCE LONDON","1364-6613","1879-307X",15.402,2016
"MOSBY-ELSEVIER","0741-5214","1097-6809",3.536,2016
"MOSBY-ELSEVIER","0741-5214","1097-6809",3.536,2016
"WILEY-V C H VERLAG GMBH","1434-193X","1099-0690",2.834,2016
"ELSEVIER SCIENCE INC","0020-0255","1872-6291",4.832,2016
"HINDAWI LTD","2314-6133","N/A",2.476,2016
"HINDAWI LTD","2314-6133","N/A",2.476,2016
"ELSEVIER SCIENCE BV","0022-3093","1873-4812",2.124,2016
"ELSEVIER SCIENCE BV","0022-3093","1873-4812",2.124,2016
"ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","0301-4797","1095-8630",4.01,2016
"WILEY-BLACKWELL","0885-3185","1531-8257",7.072,2016
"SPRINGER","1073-5623","1543-1940",1.874,2016
"SPRINGER","1073-5623","1543-1940",1.874,2016
"AMER MARKETING ASSOC","0022-2429","1547-7185",5.318,2016
"ELSEVIER SCIENCE INC","0895-4356","1878-5921",4.978,2016
"ELSEVIER SCIENCE INC","0895-4356","1878-5921",4.978,2016
"IOP PUBLISHING LTD","1751-8113","1751-8121",1.865,2016
"IOP PUBLISHING LTD","1751-8113","1751-8121",1.865,2016
"AMER ASSOC PHYSICISTS MEDICINE AMER INST PHYSICS","0094-2405","2473-4209",2.617,2016
"ACADEMIC PRESS INC ELSEVIER SCIENCE","0090-8258","1095-6859",4.959,2016
"ACADEMIC PRESS INC ELSEVIER SCIENCE","0090-8258","1095-6859",4.959,2016
"IOP PUBLISHING LTD","0031-9155","1361-6560",2.742,2016
"IOP PUBLISHING LTD","0031-9155","1361-6560",2.742,2016
"ELSEVIER SCIENCE BV","0927-7765","1873-4367",3.887,2016
"ELSEVIER SCIENCE BV","0927-7765","1873-4367",3.887,2016
"ELSEVIER SCIENCE BV","0927-7765","1873-4367",3.887,2016
"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0018-9464","1941-0069",1.243,2016
