"Name","Web of Science Documents","% Docs Cited","Category Normalized Citation Impact","International Collaborations","Gold Documents","Domestic Collaborations","State or Province","Corresponding Author (2008-2024)","Times Cited without Self-Citations","H-Index without Self-Citations","Year"
"Lincoln Memorial University",51,70.59,0.584249019607843,11,7,24,"TENNESSEE, USA",28,481,13,2016
"West Virginia State University",33,57.58,0.598490909090909,10,5,11,"WEST VIRGINIA, USA",11,436,13,2016
"Akron General Medical Center",38,92.11,1.02500263157895,5,3,24,"OHIO, USA",14,790,13,2016
"Saint Lukes Episcopal Hospital",28,89.29,1.32981785714286,10,6,16,"TEXAS, USA",7,587,13,2016
"City University of New York (CUNY) Graduate School",58,62.07,0.616203448275862,14,4,21,"NEW YORK, USA",33,841,13,2016
"University of Minnesota Morris",83,60.24,0.680255421686747,12,4,30,"MINNESOTA, USA",40,585,13,2016
"Midwestern University - College of Pharmacy - Glendale",29,82.76,0.736744827586207,3,7,20,"ARIZONA, USA",13,520,13,2016
"Bryant University",46,73.91,0.863510869565217,12,2,19,"RHODE ISLAND, USA",21,550,13,2016
"California Baptist University",43,72.09,0.931546511627907,8,1,22,"CALIFORNIA, USA",17,443,13,2016
"Software Engineering Institute",50,76,1.025466,16,0,23,"PENNSYLVANIA, USA",35,400,13,2016
"Fort Lewis College",55,56.36,0.652616363636364,8,6,23,"COLORADO, USA",29,774,13,2016
"Washburn University",51,66.67,1.35476274509804,6,1,22,"KANSAS, USA",23,514,13,2016
"Alaska Pacific University",16,87.5,1.157325,4,3,8,"ALASKA, USA",10,486,12,2016
"University of Alaska Southeastern",19,84.21,0.985336842105263,8,4,6,"ALASKA, USA",7,392,12,2016
"Western Connecticut State University",66,42.42,0.479706060606061,7,3,14,"CONNECTICUT, USA",42,433,12,2016
"Bellarmine University",45,68.89,0.821595555555556,2,3,30,"KENTUCKY, USA",23,514,12,2016
"Nicholls State University",60,50,0.77564,11,3,17,"LOUISIANA, USA",25,1087,12,2016
"Ramapo College New Jersey (RCNJ)",64,64.06,0.7851984375,10,4,20,"NEW JERSEY, USA",44,444,12,2016
"Daemen University",36,88.89,2.56360555555556,6,1,22,"NEW YORK, USA",18,1284,12,2016
"Wingate University",89,53.93,0.52623595505618,3,2,35,"NORTH CAROLINA, USA",60,817,12,2016
"Gannon University",99,47.47,0.336388888888889,19,6,19,"PENNSYLVANIA, USA",77,395,12,2016
"Wilkes University",62,50,0.631820967741935,19,5,16,"PENNSYLVANIA, USA",23,846,12,2016
"Austin Peay State University",52,59.62,0.689771153846154,12,4,21,"TENNESSEE, USA",28,426,12,2016
"Shenandoah University",56,67.86,0.927476785714286,13,7,27,"VIRGINIA, USA",21,542,12,2016
"SUNY Old Westbury",42,64.29,1.05155238095238,11,4,14,"NEW YORK, USA",21,594,12,2016
"Russell Sage College",43,62.79,0.894158139534884,9,3,17,"NEW YORK, USA",22,521,12,2016
"Pitzer College",62,54.84,0.828467741935484,8,4,37,"CALIFORNIA, USA",27,460,12,2016
"Allegheny College",75,60,0.824966666666667,10,4,20,"PENNSYLVANIA, USA",54,706,12,2016
"Illinois State Water Survey",22,77.27,1.17212727272727,7,4,13,"ILLINOIS, USA",5,710,12,2016
"Illinois Wesleyan University",63,77.78,0.831401587301587,12,5,17,"INDIANA, USA",47,501,12,2016
"Governors State University",37,75.68,0.861727027027027,3,2,21,"ILLINOIS, USA",23,624,12,2016
"Biola University",69,52.17,0.894085507246377,5,1,22,"CALIFORNIA, USA",45,402,11,2016
"University Redlands",64,60.94,0.7817453125,10,7,21,"CALIFORNIA, USA",36,450,11,2016
"Saint Leo University",47,40.43,1.19916382978723,1,1,16,"FLORIDA, USA",30,522,11,2016
"Armstrong Atlantic State University",90,57.78,0.519877777777778,11,10,36,"GEORGIA, USA",47,642,11,2016
"Earlham College",70,35.71,0.413254285714286,6,4,21,"INDIANA, USA",45,400,11,2016
"Indiana University Northwest",46,80.43,0.729539130434783,11,3,16,"INDIANA, USA",29,471,11,2016
"Framingham State College",64,54.69,0.6497734375,12,4,22,"MASSACHUSETTS, USA",43,523,11,2016
"Drew University",78,46.15,0.615175641025641,10,3,11,"NEW JERSEY, USA",61,398,11,2016
"D'Youville University",49,71.43,1.09846734693878,9,2,28,"NEW YORK, USA",16,633,11,2016
"Winston-Salem State University",64,68.75,1.008915625,13,6,32,"NORTH CAROLINA, USA",29,515,11,2016
"Air Force Institute of Technology Graduate School of Engineering & Management",59,71.19,0.60484406779661,2,2,22,"OHIO, USA",4,480,11,2016
"Ashland University",37,56.76,1.45125675675676,5,3,15,"OHIO, USA",20,768,11,2016
"George Fox University",73,38.36,0.630705479452055,7,4,26,"OREGON, USA",39,692,11,2016
"Texas Wesleyan University",26,65.38,1.00431538461538,14,1,11,"TEXAS, USA",8,536,11,2016
"Longwood University",56,64.29,0.730271428571429,7,5,18,"VIRGINIA, USA",32,521,11,2016
"University of Wisconsin La Crosse",38,60.53,0.72611052631579,6,2,13,"WISCONSIN, USA",18,347,11,2016
"New England Baptist Hospital",35,74.29,0.933057142857143,8,0,24,"MASSACHUSETTS, USA",9,487,11,2016
"Saint Johns University Collegeville",54,62.96,1.0578037037037,5,3,20,"MINNESOTA, USA",34,425,11,2016
"New College Florida",43,53.49,0.704216279069767,9,0,11,"FLORIDA, USA",34,472,11,2016
"University of Minnesota Rochester",36,69.44,0.593872222222222,4,5,27,"MINNESOTA, USA",15,453,11,2016
"Clayton State University",49,71.43,0.769334693877551,10,8,21,"GEORGIA, USA",25,398,11,2016
"University of Houston Victoria",54,53.7,0.771957407407407,10,2,13,"TEXAS, USA",45,469,11,2016
"Scripps College",63,53.97,0.679022222222222,13,5,36,"CALIFORNIA, USA",24,490,11,2016
"University of Tennessee Space Institute",28,82.14,1.135925,12,1,14,"TENNESSEE, USA",16,649,11,2016
"College of Saint Benedict & Saint Johns University",70,54.29,0.837112857142857,6,3,22,"MINNESOTA, USA",44,441,11,2016
"Hillsdale College",34,58.82,8.70686470588235,11,2,5,"MICHIGAN, USA",20,5795,11,2016
"Kalamazoo College",51,62.75,0.777668627450981,8,1,12,"MICHIGAN, USA",33,421,11,2016
"Sarah Lawrence College",46,56.52,0.548754347826087,9,1,15,"NEW YORK, USA",29,687,11,2016
"Walsh University",28,82.14,0.781942857142857,4,6,9,"OHIO, USA",16,451,11,2016
"Kent State University Stark",32,75,1.154103125,8,2,11,"OHIO, USA",18,279,11,2016
"Susquehanna University",57,57.89,0.448510526315789,12,2,21,"PENNSYLVANIA, USA",26,455,11,2016
"University of Nebraska Omaha",57,56.14,1.10355614035088,11,6,23,"NEBRASKA, USA",33,280,11,2016
"York College NY (CUNY)",43,67.44,1.29603023255814,12,2,18,"NEW YORK, USA",23,3983,11,2016
"Jacksonville State University",28,85.71,0.930728571428571,3,3,17,"ALABAMA, USA",15,357,10,2016
"Jacksonville University",49,81.63,0.401197959183673,17,6,21,"FLORIDA, USA",19,323,10,2016
"Columbus State University",50,66,0.89629,5,2,21,"GEORGIA, USA",29,590,10,2016
"Savannah State University",55,65.45,0.81132,7,4,30,"GEORGIA, USA",34,674,10,2016
"Indiana University Southeast",34,70.59,0.601791176470588,13,2,9,"INDIANA, USA",19,380,10,2016
"Frostburg State University",39,76.92,0.658566666666667,2,4,20,"MARYLAND, USA",21,371,10,2016
"Massachusetts College Liberal Arts",23,86.96,1.35033913043478,11,0,6,"MASSACHUSETTS, USA",7,357,10,2016
"Worcester State University",33,60.61,0.976587878787879,3,0,18,"MASSACHUSETTS, USA",20,619,10,2016
"Metropolitan State University",62,53.23,0.472806451612903,5,3,21,"MINNESOTA, USA",38,297,10,2016
"Montana State University Billings",31,58.06,0.782845161290323,0,1,13,"MONTANA, USA",24,553,10,2016
"New Mexico Highlands University",29,62.07,0.469610344827586,16,3,5,"NEW MEXICO, USA",14,273,10,2016
"University of Findlay",42,52.38,0.343159523809524,6,4,22,"OHIO, USA",12,300,10,2016
"Northeastern State University",34,55.88,0.566338235294118,3,2,21,"OKLAHOMA, USA",8,284,10,2016
"Western Oregon University",47,51.06,0.491789361702128,5,5,23,"OREGON, USA",20,435,10,2016
"Lincoln University - Pennsylvania",27,55.56,0.714155555555556,10,3,14,"PENNSYLVANIA, USA",8,256,10,2016
"Regent University",52,65.38,0.952896153846154,0,2,16,"VIRGINIA, USA",42,513,10,2016
"Concordia University Wisconsin",44,56.82,0.365502272727273,3,0,23,"WISCONSIN, USA",23,298,10,2016
"University of Wisconsin Oshkosh",36,58.33,0.692052777777778,6,0,12,"WISCONSIN, USA",21,511,10,2016
"University of Wisconsin Platteville",43,65.12,1.77082558139535,10,1,23,"WISCONSIN, USA",20,564,10,2016
"Fort Valley State University",44,56.82,0.578486363636364,10,3,27,"GEORGIA, USA",7,469,10,2016
"University of Puerto Rico at Cayey",28,53.57,0.445975,1,2,20,"PUERTO RICO, USA",9,213,10,2016
"Morehouse College",47,55.32,0.427344680851064,12,3,21,"GEORGIA, USA",18,328,10,2016
"Georgia Gwinnett College",64,60.94,0.4274890625,13,4,25,"GEORGIA, USA",38,476,10,2016
"Midwestern University - Chicago College of Osteopathic Medicine",26,73.08,0.926126923076923,4,5,16,"ILLINOIS, USA",11,414,10,2016
"Lawrence University",43,60.47,0.645939534883721,11,5,10,"WISCONSIN, USA",26,420,10,2016
"Arkansas Tech University",46,54.35,0.879219565217391,12,5,19,"ARKANSAS, USA",27,278,9,2016
"University Arkansas Pine Bluff",21,76.19,1.011,10,0,10,"ARKANSAS, USA",10,336,9,2016
"California Lutheran University",43,69.77,1.06439302325581,16,1,7,"CALIFORNIA, USA",16,429,9,2016
"Colorado Technical University",21,80.95,1.8086,9,0,3,"COLORADO, USA",10,680,9,2016
"Albany State University",26,80.77,0.902138461538462,6,3,5,"GEORGIA, USA",17,280,9,2016
"Marian University",41,53.66,0.449187804878049,5,3,18,"INDIANA, USA",17,258,9,2016
"Bowie State University",40,65,1.0332525,5,1,18,"MARYLAND, USA",25,430,9,2016
"Fitchburg State College",44,38.64,0.618068181818182,7,1,14,"MASSACHUSETTS, USA",29,242,9,2016
"SUNY Potsdam",12,100,1.42603333333333,5,0,4,"NEW YORK, USA",0,309,9,2016
"Cedarville University",28,82.14,0.631039285714286,3,2,16,"OHIO, USA",13,365,9,2016
"Langston University",36,69.44,0.54125,20,3,5,"OKLAHOMA, USA",10,347,9,2016
"Black Hills State University",39,58.97,1.08158974358974,17,5,12,"SOUTH DAKOTA, USA",18,733,9,2016
"Dakota State University",39,51.28,0.976453846153846,3,0,14,"SOUTH DAKOTA, USA",35,270,9,2016
"Union University",31,58.06,0.573716129032258,5,1,16,"TENNESSEE, USA",9,313,9,2016
"University Mary Hardin Baylor",30,63.33,1.10319,0,2,16,"TEXAS, USA",18,339,9,2016
"Southern Utah University",64,46.88,0.814859375,12,2,27,"UTAH, USA",29,278,9,2016
"Marymount University",36,69.44,0.723777777777778,6,2,15,"VIRGINIA, USA",22,297,9,2016
"Milwaukee School Engineering",38,60.53,0.571905263157895,6,1,17,"WISCONSIN, USA",24,724,9,2016
"Detroit Receiving Hospital & University Health Center",18,94.44,0.7461,1,2,11,"MICHIGAN, USA",10,218,9,2016
"Miami Valley Hospital",33,72.73,0.635569696969697,7,4,19,"OHIO, USA",12,383,9,2016
"University of Puerto Rico Humacao",33,60.61,0.560887878787879,2,5,19,"PUERTO RICO, USA",12,398,9,2016
"SUNY Empire State College",49,51.02,0.492202040816327,5,1,14,"NEW YORK, USA",34,258,9,2016
"Linfield University",36,61.11,0.583575,6,3,14,"OREGON, USA",12,361,9,2016
"National Defense University - USA",45,66.67,1.06620888888889,8,3,9,"DISTRICT OF COLUMBIA, USA",31,267,9,2016
"Ohio Wesleyan University",40,57.5,0.48723,8,4,11,"OHIO, USA",23,313,9,2016
"Beloit College",46,63.04,0.878430434782609,8,2,12,"WISCONSIN, USA",27,566,9,2016
"Rocky Mountain University Health Professions",21,85.71,0.728161904761905,5,1,15,"UTAH, USA",2,333,9,2016
"University of Phoenix",79,51.9,0.390584810126582,13,3,29,"ARIZONA, USA",57,513,9,2016
"University of North Carolina at Pembroke",42,73.81,0.833402380952381,9,1,18,"NORTH CAROLINA, USA",21,399,9,2016
"National University (California)",106,27.36,0.219885849056604,9,4,20,"CALIFORNIA, USA",83,251,8,2016
"Whittier College",61,40.98,0.350950819672131,3,4,17,"CALIFORNIA, USA",48,277,8,2016
"Indiana University Kokomo",33,81.82,1.14244242424242,13,3,7,"INDIANA, USA",16,455,8,2016
"Saint Ambrose University",31,70.97,0.440567741935484,2,5,19,"IOWA, USA",12,222,8,2016
"Washington College",34,41.18,0.281435294117647,4,3,15,"MARYLAND, USA",20,132,8,2016
"Westfield State University",45,40,0.210575555555556,7,2,11,"MASSACHUSETTS, USA",25,193,8,2016
"Webster University",41,53.66,0.428856097560976,3,3,18,"MISSOURI, USA",30,273,8,2016
"Caldwell University",24,58.33,0.416020833333333,1,0,6,"NEW JERSEY, USA",20,190,8,2016
"Eastern New Mexico University",35,71.43,0.467405714285714,8,6,15,"NEW MEXICO, USA",21,191,8,2016
"Hiram College",18,88.89,1.04105555555556,5,4,10,"OHIO, USA",9,200,8,2016
"York College Pennsylvania",40,35,0.6114125,3,0,20,"PENNSYLVANIA, USA",12,207,8,2016
"University of Lynchburg",33,54.55,0.711878787878788,6,4,11,"VIRGINIA, USA",20,249,8,2016
"WellStar Atlanta Medical Center",39,61.54,0.711866666666667,4,3,28,"GEORGIA, USA",13,263,8,2016
"Farmingdale State College",28,67.86,1.41052142857143,3,1,10,"NEW YORK, USA",17,426,8,2016
"Methodist Neurological Institute",21,57.14,2.37755714285714,7,0,11,"TEXAS, USA",4,1254,8,2016
"Lewis University",28,75,1.16172857142857,3,3,9,"ILLINOIS, USA",18,616,8,2016
"Franklin W. Olin College of Engineering",25,76,1.558856,5,1,16,"MASSACHUSETTS, USA",11,782,8,2016
"McNeese State University",55,47.27,0.445712727272727,8,2,26,"LOUISIANA, USA",28,342,8,2016
"Albion College",51,43.14,0.713211764705882,4,2,18,"MICHIGAN, USA",20,395,8,2016
"University of Mount Union",29,58.62,0.826206896551724,3,4,18,"OHIO, USA",8,244,8,2016
"Keck Graduate Institute School of Pharmacy",10,80,1.47595,3,3,7,"CALIFORNIA, USA",3,466,8,2016
"Grand Canyon University",18,55.56,0.549144444444444,3,1,7,"ARIZONA, USA",11,141,7,2016
"Harding University",21,52.38,0.581280952380952,4,0,7,"ARKANSAS, USA",9,155,7,2016
"Samuel Merritt University",22,63.64,0.488113636363636,4,1,8,"CALIFORNIA, USA",12,182,7,2016
"Bethune-Cookman University",19,63.16,0.484705263157895,3,3,14,"FLORIDA, USA",8,153,7,2016
"University Southern Indiana",34,70.59,0.4293,6,2,11,"INDIANA, USA",20,283,7,2016
"Louisiana State University Shreveport",29,51.72,0.432341379310345,7,0,11,"LOUISIANA, USA",15,221,7,2016
"Southern University New Orleans",13,92.31,2.12670769230769,8,0,4,"LOUISIANA, USA",1,337,7,2016
"Bemidji State University",46,50,0.573569565217391,8,1,18,"MINNESOTA, USA",27,170,7,2016
"Millsaps College",34,52.94,0.82065,5,2,12,"MISSISSIPPI, USA",15,279,7,2016
"Maryville University Saint Louis",19,78.95,0.797752631578947,0,0,13,"MISSOURI, USA",11,148,7,2016
"Antioch University New England",28,64.29,0.471525,5,1,13,"NEW HAMPSHIRE, USA",13,303,7,2016
"Manhattanville College",27,70.37,1.48192592592593,2,4,11,"NEW YORK, USA",21,286,7,2016
"Mercy College",45,37.78,0.272757777777778,6,1,10,"NEW YORK, USA",15,212,7,2016
"Baldwin Wallace University",20,55,0.79196,3,0,9,"OHIO, USA",11,324,7,2016
"Mount St. Joseph University",13,69.23,1.57420769230769,1,1,6,"OHIO, USA",9,183,7,2016
"Wittenberg University",37,56.76,0.752605405405405,7,0,7,"OHIO, USA",26,126,7,2016
"Oklahoma City University",28,39.29,0.811896428571429,2,0,10,"OKLAHOMA, USA",19,133,7,2016
"Eastern Oregon University",32,53.12,0.72545,7,3,11,"OREGON, USA",7,326,7,2016
"Clarion University of Pennsylvania",25,72,0.289112,7,4,10,"PENNSYLVANIA, USA",12,149,7,2016
"Edinboro University",23,60.87,0.839752173913043,2,0,5,"PENNSYLVANIA, USA",18,78,7,2016
"Lock Haven University",20,50,1.20036,2,4,9,"PENNSYLVANIA, USA",6,458,7,2016
"Westminster College Pennsylvania",21,57.14,0.47202380952381,4,1,5,"PENNSYLVANIA, USA",13,204,7,2016
"Northern State University",20,50,0.539275,4,0,6,"SOUTH DAKOTA, USA",16,200,7,2016
"University of Tennessee Martin",38,44.74,0.541218421052632,5,2,5,"TENNESSEE, USA",31,272,7,2016
"University of Saint Thomas",57,43.86,1.48515438596491,5,3,18,"TEXAS, USA",29,302,7,2016
"Whitworth University",34,47.06,0.647617647058824,5,1,9,"WASHINGTON, USA",24,267,7,2016
"Edgewood College",20,85,0.6054,2,1,10,"WISCONSIN, USA",9,111,7,2016
"University of Wisconsin Eau Claire",43,37.21,0.345958139534884,3,0,14,"WISCONSIN, USA",22,203,7,2016
"Saint Thomas Hospital",13,92.31,1.07010769230769,5,0,7,"TENNESSEE, USA",1,287,7,2016
"Texas A&M University San Antonio",38,57.89,1.53642894736842,5,2,19,"TEXAS, USA",15,125,7,2016
"Indiana University East",32,53.12,0.868771875,2,1,15,"INDIANA, USA",18,307,7,2016
"University Minnesota Crookston",18,66.67,1.10989444444444,4,2,10,"MINNESOTA, USA",5,343,7,2016
"University of Maine Farmington",15,53.33,0.75276,1,0,9,"MAINE, USA",6,164,7,2016
"Nevada State University",25,56,0.592524,4,1,9,"NEVADA, USA",2,272,7,2016
"Medgar Evers College",20,65,0.580225,8,2,6,"NEW YORK, USA",6,246,7,2016
"California University of Pennsylvania",28,57.14,0.745514285714286,7,2,5,"PENNSYLVANIA, USA",17,218,7,2016
"Benedict College",10,100,5.67536,2,0,4,"SOUTH CAROLINA, USA",7,280,7,2016
"Tougaloo College",15,86.67,0.36388,5,3,7,"MISSISSIPPI, USA",9,147,7,2016
"Argosy University",16,81.25,0.5585,4,2,5,"WASHINGTON, USA",6,131,7,2016
"Florida Polytechnical University",21,85.71,1.64262857142857,3,3,14,"FLORIDA, USA",11,238,7,2016
"California Health Sciences University (CHSU)",7,100,1.2958,3,2,4,"CALIFORNIA, USA",3,205,7,2016
"Albizu University",10,100,0.57347,1,0,9,"FLORIDA, USA",5,90,6,2016
"Keiser University",17,64.71,0.572588235294118,4,1,7,"FLORIDA, USA",7,131,6,2016
"Palm Beach Atlantic University West Palm Beach",26,53.85,0.499930769230769,3,4,3,"FLORIDA, USA",16,140,6,2016
"Brenau University",14,71.43,0.915264285714286,0,3,11,"GEORGIA, USA",7,240,6,2016
"Chaminade University Honolulu",15,60,1.4585,5,1,7,"HAWAII, USA",4,446,6,2016
"National Louis University",22,54.55,0.429490909090909,1,0,10,"ILLINOIS, USA",13,131,6,2016
"Mount Saint Marys University Maryland",38,42.11,0.332976315789474,0,0,13,"MARYLAND, USA",23,91,6,2016
"Lesley University",35,68.57,0.933097142857143,3,0,11,"MASSACHUSETTS, USA",22,123,6,2016
"Michigan State University College Law",46,45.65,0.309054347826087,4,1,2,"MICHIGAN, USA",40,99,6,2016
"Minnesota State University Moorhead",26,57.69,0.406569230769231,2,3,13,"MINNESOTA, USA",14,173,6,2016
"Wayne State College",14,71.43,0.550407142857143,5,1,5,"NEBRASKA, USA",5,117,6,2016
"New Jersey City University",48,37.5,0.262883333333333,6,3,11,"NEW JERSEY, USA",31,114,6,2016
"Elizabeth City State University",15,66.67,0.584673333333333,2,0,12,"NORTH CAROLINA, USA",6,77,6,2016
"Capital University",20,85,0.9171,3,2,15,"OHIO, USA",7,209,6,2016
"Heidelberg University USA",11,54.55,1.81260909090909,4,0,2,"OHIO, USA",0,821,6,2016
"Claflin University",33,48.48,0.307933333333333,1,3,9,"SOUTH CAROLINA, USA",18,247,6,2016
"Angelo State University",48,56.25,0.80120625,6,4,14,"TEXAS, USA",35,204,6,2016
"Northern Vermont University",13,69.23,0.447838461538462,2,1,9,"VERMONT, USA",2,117,6,2016
"Vermont Law & Graduate School",13,61.54,0.626130769230769,6,2,1,"VERMONT, USA",5,228,6,2016
"University of Wisconsin Whitewater",23,56.52,0.327178260869565,7,2,8,"WISCONSIN, USA",17,136,6,2016
"Metropolitan Hospital Center",43,62.79,0.584590697674419,3,3,18,"NEW YORK, USA",25,161,6,2016
"University of Wisconsin Green Bay",18,50,1.19666111111111,7,1,4,"WISCONSIN, USA",9,298,6,2016
"Dalton State College",14,64.29,1.02435,4,0,5,"GEORGIA, USA",9,228,6,2016
"Louisiana State University at Alexandria",11,72.73,1.08852727272727,1,1,8,"LOUISIANA, USA",2,138,6,2016
"SUNY Oneonta",22,40.91,0.464754545454545,2,2,5,"NEW YORK, USA",18,134,6,2016
"Southern Agricultural Research & Extension Center",9,88.89,1.20771111111111,5,1,3,"LOUISIANA, USA",2,244,6,2016
"Lewis Clark State College",11,90.91,1.43874545454545,1,2,7,"IDAHO, USA",4,223,6,2016
"Brigham Young University - Hawaii",21,52.38,0.345180952380952,4,1,6,"HAWAII, USA",10,94,6,2016
"Abraham Baldwin Agricultural College",9,88.89,2.12295555555556,1,1,8,"GEORGIA, USA",1,450,6,2016
"Alcorn State University",27,55.56,0.435159259259259,1,2,19,"MISSISSIPPI, USA",10,242,6,2016
"New Iberia Research Center",10,60,4.02931,5,1,5,"LOUISIANA, USA",2,295,6,2016
"Midwestern University - College of Dental Medicine - Illinois",8,100,1.02375,4,3,3,"ILLINOIS, USA",3,214,6,2016
"St. George's University",30,26.67,0.295346666666667,4,1,24,"NEW YORK, USA",2,195,6,2016
"Columbus State Community College",15,73.33,0.652586666666667,4,1,4,"OHIO, USA",8,190,6,2016
"Oakwood University",11,90.91,0.554454545454545,1,2,9,"ALABAMA, USA",4,70,6,2016
"South College - Knoxville Campus",11,90.91,0.627045454545455,1,2,7,"TENNESSEE, USA",5,125,6,2016
"University of West Alabama",11,72.73,0.624036363636364,3,1,7,"ALABAMA, USA",4,129,5,2016
"Woodbury University",15,40,0.49176,2,0,2,"CALIFORNIA, USA",14,131,5,2016
"Trinity Washington University",8,75,1.031125,0,2,5,"DISTRICT OF COLUMBIA, USA",6,76,5,2016
"Northwestern State University of Louisiana",19,47.37,0.613921052631579,2,5,8,"LOUISIANA, USA",11,380,5,2016
"Coppin State University",13,38.46,0.209453846153846,1,2,5,"MARYLAND, USA",6,51,5,2016
"Assumption College",36,38.89,0.422997222222222,2,3,11,"MASSACHUSETTS, USA",29,124,5,2016
"Mississippi Valley State University",15,73.33,0.446606666666667,3,2,10,"MISSISSIPPI, USA",6,96,5,2016
"William Carey University",11,72.73,0.570863636363636,2,2,7,"MISSISSIPPI, USA",1,66,5,2016
"Central State University",9,77.78,0.291377777777778,1,1,5,"OHIO, USA",3,49,5,2016
"Franciscan University of Steubenville",27,33.33,0.285622222222222,1,6,4,"OHIO, USA",21,115,5,2016
"Marietta College",18,33.33,7.08218333333333,2,1,6,"OHIO, USA",6,76,5,2016
"Ohio Dominican University",15,86.67,1.01956,1,2,7,"OHIO, USA",7,116,5,2016
"Misericordia University",27,44.44,0.172533333333333,0,0,6,"PENNSYLVANIA, USA",17,74,5,2016
"Johnson & Wales University",22,54.55,2.32937272727273,2,0,10,"RHODE ISLAND, USA",11,158,5,2016
"Wheeling University",29,24.14,0.10528275862069,1,0,7,"WEST VIRGINIA, USA",5,53,5,2016
"University of Wisconsin Superior",13,61.54,0.428815384615385,2,0,2,"WISCONSIN, USA",9,58,5,2016
"Baptist Memorial Hospital Memphis",7,85.71,0.503542857142857,0,1,7,"TENNESSEE, USA",1,73,5,2016
"Our Lady Lake Regional Medical Center",16,81.25,0.528925,1,0,13,"LOUISIANA, USA",3,104,5,2016
"Santa Barbara Cottage Hospital",15,66.67,0.553226666666667,0,2,10,"CALIFORNIA, USA",4,81,5,2016
"Texas A&M University Central Texas",11,72.73,0.625227272727273,2,1,5,"TEXAS, USA",7,175,5,2016
"Texas A&M Engineering Experimental Station",12,91.67,0.738991666666667,3,0,8,"TEXAS, USA",5,139,5,2016
"University of Maine Presque Isle",9,100,1.20368888888889,4,0,5,"MAINE, USA",3,129,5,2016
"Methodist Breast Center",7,71.43,1.07627142857143,2,1,5,"TEXAS, USA",1,233,5,2016
"Utah Tech University",20,50,0.354095,4,0,11,"UTAH, USA",4,170,5,2016
"University of Pikeville",8,62.5,0.817825,0,1,6,"KENTUCKY, USA",1,105,5,2016
"Dillard University",15,60,0.568033333333333,1,3,7,"LOUISIANA, USA",12,111,5,2016
"University of Arkansas Fort Smith",21,66.67,0.409,4,1,6,"ARKANSAS, USA",14,81,5,2016
"Santa Monica College",12,66.67,0.459025,1,1,4,"CALIFORNIA, USA",9,95,5,2016
"Kent State University Tuscarawas",9,88.89,3.33914444444444,3,0,1,"OHIO, USA",5,64,5,2016
"DeSales University",24,29.17,1.05494583333333,1,0,11,"PENNSYLVANIA, USA",6,109,5,2016
"Gwynedd Mercy University",17,64.71,0.249011764705882,2,0,10,"PENNSYLVANIA, USA",5,72,5,2016
"Northern Virginia Community College",17,64.71,0.530858823529412,6,1,3,"VIRGINIA, USA",8,86,5,2016
"University Arkansas Monticello",12,50,0.922166666666667,0,0,10,"ARKANSAS, USA",6,38,4,2016
"Aurora University",19,31.58,0.450978947368421,0,0,10,"ILLINOIS, USA",9,87,4,2016
"Baker University",10,60,0.586,0,1,3,"KANSAS, USA",8,43,4,2016
"Saint Marys University Minnesota",19,42.11,0.150657894736842,2,0,9,"MINNESOTA, USA",4,57,4,2016
"College of St. Scholastica",25,24,0.239256,3,0,12,"MINNESOTA, USA",9,161,4,2016
"Felician University",7,71.43,1.75771428571429,1,0,3,"NEW JERSEY, USA",4,93,4,2016
"Gardner Webb University",17,35.29,0.394282352941176,0,1,5,"NORTH CAROLINA, USA",14,58,4,2016
"Malone University",10,70,8.90296,1,1,4,"OHIO, USA",7,36,4,2016
"Oral Roberts University",12,75,0.5706,5,0,4,"OKLAHOMA, USA",6,92,4,2016
"Alvernia University",18,50,1.00278888888889,1,1,4,"PENNSYLVANIA, USA",11,71,4,2016
"Immaculata University",17,47.06,0.173647058823529,1,1,12,"PENNSYLVANIA, USA",4,59,4,2016
"South Carolina State University",15,40,0.511326666666667,3,1,6,"SOUTH CAROLINA, USA",5,162,4,2016
"Our Lady Lake University San Antonio",10,70,0.40293,1,0,6,"TEXAS, USA",7,53,4,2016
"Texas A&M University Texarkana",7,71.43,1.02561428571429,2,1,2,"TEXAS, USA",6,153,4,2016
"Iowa Methodist Medical Center",9,66.67,0.431222222222222,0,0,8,"IOWA, USA",4,87,4,2016
"University of Wisconsin River Falls",8,50,0.5460375,3,1,2,"WISCONSIN, USA",3,101,4,2016
"University of North Texas at Dallas",13,53.85,0.199492307692308,1,1,5,"TEXAS, USA",9,46,4,2016
"University of Maine Machias",7,85.71,0.4516,1,3,6,"MAINE, USA",5,64,4,2016
"Peru State College",6,83.33,0.337233333333333,1,2,1,"NEBRASKA, USA",4,43,4,2016
"New York City College of Technology",4,100,0.841375,2,1,1,"NEW YORK, USA",1,65,4,2016
"University of Puerto Rico at Aguadilla",10,40,0.33567,1,2,5,"PUERTO RICO, USA",0,80,4,2016
"Universidad Central de Bayamon",14,50,0.693014285714286,2,5,10,"PUERTO RICO, USA",6,49,4,2016
"SUNY Cobleskill",11,63.64,0.766318181818182,1,1,5,"NEW YORK, USA",5,73,4,2016
"University of Maryland University College",42,35.71,0.124428571428571,5,1,9,"MARYLAND, USA",32,88,4,2016
"American Military University",6,66.67,0.89535,3,0,0,"WEST VIRGINIA, USA",3,98,4,2016
"American Public University",16,50,0.348525,3,1,3,"WEST VIRGINIA, USA",10,102,4,2016
